name,lat,long,,,,,,,,,,,
정우새어시장,35.204104,128.578711,,,,,,,,,,,
중앙시장(창원중앙시장),35.230171,128.671939,,,,,,,,,,,
지귀시장,35.245811,128.659847,,,,,,,,,,,
진동시장,35.113595,128.487926,,,,,,,,,,,
진동전통시장,35.113306,128.487324,,,,,,,,,,,
진해중부시장,35.155072,128.681561,,,,,,,,,,,
진해중앙시장,35.151082,128.6652503,,,,,,,,,,,
창원기계공구상가,35.233767,128.641078,,,,,,,,,,,
창원도계부부시장,35.257215,128.637139,,,,,,,,,,,
창원캔버라상가,35.221233,128.676828,,,,,,,,,,,
창원코아상가,35.220442,128.679542,,,,,,,,,,,
코오롱타운상가,35.265706,128.525608,,,,,,,,,,,
토월복합상가시장,35.228037,128.691939,,,,,,,,,,,
합성동상가,35.237725,128.583461,,,,,,,,,,,
대동씨코아상가시장,35.179759,128.562476,,,,,,,,,,,
대동중앙상가,35.253607,128.615835,,,,,,,,,,,
대동훼미리코아상가,35.211749,128.7076298,,,,,,,,,,,
대방덕산1차상가,35.213619,128.706891,,,,,,,,,,,
덕산그린피아상가,35.221681,128.676025,,,,,,,,,,,
동마산시장,35.240037,128.587545,,,,,,,,,,,
동성올림픽타운,35.222233,128.677733,,,,,,,,,,,
롯데종합상가,35.234038,128.685432,,,,,,,,,,,
마산수산시장,35.201817,128.5789097,,,,,,,,,,,
마산어시장,35.203762,128.578956,,,,,,,,,,,
마산역번개시장,35.235775,128.578798,,,,,,,,,,,
마천시장,35.125388,128.7828095,,,,,,,,,,,
명곡종합상가,35.248487,128.646219,,,,,,,,,,,
명서시장,35.249445,128.645974,,,,,,,,,,,
반송시장,35.235134,128.6710497,,,,,,,,,,,
봉곡민속체험시장(봉곡시장),35.24696954,128.671971,,,,,,,,,,,
봉곡프라자상가,35.24543957,128.659518,,,,,,,,,,,
부림상시장,35.205773,128.572446,,,,,,,,,,,
부림시장,35.207185,128.572901,,,,,,,,,,,
북동공설시장,35.266181,128.620696,,,,,,,,,,,
북마산가구시장,35.208995,128.572786,,,,,,,,,,,
북마산중앙시장,35.216035,128.571174,,,,,,,,,,,
사파동성종합상가,35.219477,128.702189,,,,,,,,,,,
산호시장,35.218374,128.581716,,,,,,,,,,,
상남시장,35.222215,128.68338,,,,,,,,,,,
서마산시장,35.22902031,128.569129,,,,,,,,,,,
석전시장,35.230411,128.574906,,,,,,,,,,,
언양공설시장,35.56301518,129.1253841,,,,,,,,,,,
언양종합상가시장,35.56349828,129.1259648,,,,,,,,,,,
덕신1차시장,35.43524242,129.309349,,,,,,,,,,,
덕신2차시장,35.42934943,129.3100244,,,,,,,,,,,
수암종합시장,35.5278581,129.320239,,,,,,,,,,,
야음상가시장,35.523617,129.3318715,,,,,,,,,,,
㈜야음시장,35.52405894,129.3313722,,,,,,,,,,,
신정평화시장,35.538337,129.3035526,,,,,,,,,,,
울산산업공구월드,35.535788,129.3426382,,,,,,,,,,,
반구시장,35.55838627,129.3434196,,,,,,,,,,,
우정전통시장,35.5548812,129.3100508,,,,,,,,,,,
울산시장,35.5554665,129.3284088,,,,,,,,,,,
성남프라자,35.5545103,129.3175359,,,,,,,,,,,
선우시장,35.57119003,129.3421097,,,,,,,,,,,
병영시장,35.5705654,129.3462928,,,,,,,,,,,
역전시장,35.5561541,129.3284797,,,,,,,,,,,
우정시장,35.5546219,129.3100727,,,,,,,,,,,
학성종합시장,35.5544211,129.3320577,,,,,,,,,,,
태화종합시장,35.55419983,129.3074139,,,,,,,,,,,
신울산종합시장,35.5612392,129.3373679,,,,,,,,,,,
학성새벽시장,35.55655467,129.3326793,,,,,,,,,,,
중앙전통시장,35.5551774,129.3222936,,,,,,,,,,,
구역전시장,35.5570211,129.3284786,,,,,,,,,,,
서동시장,35.58205471,129.3465532,,,,,,,,,,,
옥골시장,35.55542851,129.3236227,,,,,,,,,,,
구역전전통시장,35.5559093,129.3279529,,,,,,,,,,,
호계공설시장,35.62359655,129.3557296,,,,,,,,,,,
화봉시장,35.58882126,129.3658152,,,,,,,,,,,
남창옹기종기시장,35.41669017,129.2827773,,,,,,,,,,,
봉계시장,35.7133828,129.1991746,,,,,,,,,,,
남목시티시장,35.5427086,129.4285507,,,,,,,,,,,
신정상가시장,35.5419608,129.3090764,,,,,,,,,,,
㈜신정시장,35.5423359,129.3102844,,,,,,,,,,,
울산번개시장,35.520239,129.3367745,,,,,,,,,,,
수암상가시장,35.5269662,129.3207713,,,,,,,,,,,
동울산종합시장,35.5088339,129.425456,,,,,,,,,,,
대송농수산물시장,35.49920742,129.420604,,,,,,,,,,,
전하시장,35.5137806,129.430723,,,,,,,,,,,
남목시장,35.5427156,129.4273869,,,,,,,,,,,
동부시장,35.5426465,129.4280925,,,,,,,,,,,
용인중앙시장,37.236506,127.207071,,,,,,,,,,,
죽전로데오상점가시장,37.328761,127.108104,,,,,,,,,,,
화천재래시장,38.103715,127.705625,,,,,,,,,,,
구리전통시장,37.599546,127.139929,,,,,,,,,,,
안면도수산시장,36.51635582,126.346007,,,,,,,,,,,
백운시장,37.655638,127.0156253,,,,,,,,,,,
방학동도깨비시장,37.66594191,127.0362056,,,,,,,,,,,
창동신창시장,37.6394346,127.0374397,,,,,,,,,,,
창동골목시장,37.638352,127.0391199,,,,,,,,,,,
신도봉시장,37.6700601,127.0411223,,,,,,,,,,,
쌍문시장,37.648244,127.0328194,,,,,,,,,,,
특산물전통시장,36.751301,126.2984694,,,,,,,,,,,
서부시장,36.752927,126.2968099,,,,,,,,,,,
통진시장,37.69240314,126.5993151,,,,,,,,,,,
양곡시장,37.654818,126.623703,,,,,,,,,,,
양곡오라니장터시장,37.65616115,126.6237054,,,,,,,,,,,
금촌전통시장,37.762599,126.773886,,,,,,,,,,,
문산자유시장,37.8569889,126.7841888,,,,,,,,,,,
광탄시장,37.782166,126.848473,,,,,,,,,,,
적성전통시장,37.9554549,126.918612,,,,,,,,,,,
금촌문화로시장,37.7625985,126.775133,,,,,,,,,,,
